ROW,ID,TEXT,CODE,PKEY,SORT,PLT
216,CQ7c, Downstream,N_2_DOWNSTREAM,5431,2,424
217,CQ7c, Both,N_3_BOTH,5432,3,424
218,CQ8, Free text,N_1_FREE_TEXT,5442,1,425
219,CQ9, Free text,N_1_FREE_TEXT,5452,1,426
220,CQ10, Government Owned – Government Operated (GoGo),N_1_GOVERN_GOGO,5462,1,427
221,CQ10, Government Owned – Contractor Operated (GoCo),N_2_GOVERN_GOCO,5463,2,427
222,CQ10," Contractor Owned – Contractor Operated, (CoCo)",N_3_CONTRA_COCO,5464,3,427
223,CQ10, Federally Funded Research and Development Center (FFRDC),N_4_FEDER_FFRDC,5465,4,427
224,CQ10, Other (Free Text),N_5_OTHER_FREE_,5466,5,427
225,CQ11, Free text,N_1_FREE_TEXT,5476,1,428
226,CQ12, Free text,N_1_FREE_TEXT,5486,1,429
227,CQ13, Yes,N_1_YE,5496,1,430
228,CQ13, No,N_2_NO,5497,2,430
229,CQ13, Unknown,N_3_UNKNOWN,5498,3,430
230,CQ14, Free text,N_1_FREE_TEXT,5508,1,431
231,CQ15, Federal Employees,N_1_FEDER_EMPLO,5518,1,432
232,CQ15, Federal employees and direct support contractors,N_2_FEDER_ACTOR,5519,2,432
233,CQ15, Contractors,N_3_CONTRACTOR,5520,3,432
234,CQ16," Encryption of data at rest
2. Encryption of data in transit
3. Least privilege principles
4. Application Allowlisting (whitelisting)
5. Other (Free Text)
6. Unknown",N_1_ENCRYPKNOWN,5530,1,433
235,CQ17, Security Operations Center (SOC) as a Service such as Asset Management,N_1_SECUR_MANAG,5540,1,434
236,CQ17, Awareness and Training,N_2_AWAR_TRAIN,5541,2,434
237,CQ17, Detection Processes,N_3_DETECT_PROC,5542,3,434
238,CQ17, Governance: Information Protection Processes and Procedures;,N_4_GOVERNDURES,5543,4,434
239,CQ17, Protective Technology,N_5_PROTECNOLOG,5544,5,434
240,CQ17, Risk Assessment,N_6_RISK_ASSESS,5545,6,434
241,CQ17, Security Continuous Monitoring,N_7_SECUR_NITOR,5546,7,434
242,CQ17, Supply Chain Risk Management,N_8_SUPPLIMANAG,5547,8,434
243,CQ18, Continuous Diagnostics and Mitigation (CDM),N_1_CONTING_CDM,5557,1,435
244,CQ18, Protective DNS (pDNS),N_2_PROTECT_DN_,5558,2,435
245,CQ18, Vulnerability Disclosure Program (VDP),N_3_VULNERM_VDP,5559,3,435
246,CQ18, Other (Free Text),N_4_OTHER_FREE_,5560,4,435
247,CQ18, Unknown,N_5_UNKNOWN,5561,5,435
248,CQ18, No,N_6_NO,5562,6,435
249,CQ19, Yes,N_1_YE,5572,1,436
250,CQ19, No,N_2_NO,5573,2,436
251,CQ19, Unknown,N_3_UNKNOWN,5574,3,436
252,CQ20, Yes,N_1_YE,5584,1,437
253,CQ20, No,N_2_NO,5585,2,437
254,CQ20, Unknown,N_3_UNKNOWN,5586,3,437
255,CQ21, Yes,N_1_YE,5596,1,438
256,CQ21, No,N_2_NO,5597,2,438
257,CQ21, Unknown,N_3_UNKNOWN,5598,3,438
258,CQ22, Free Text,N_1_FREE_TEXT,5608,1,439
259,CQ23, Yes,N_1_YE,5618,1,440
260,CQ23, No,N_2_NO,5619,2,440
261,CQ23, Unknown,N_3_UNKNOWN,5620,3,440
262,CQ23A, Free Text,N_1_FREE_TEXT,5630,1,441
263,CQ23B, Resulted in unscheduled downtime/unavailability,N_1_RESULTAVAIL,5640,1,442
264,CQ23B, Required outside incident response support  in the last 12 months,N_2_REQUIRMONTH,5641,2,442
265,CQ23B1, Integer,N_1_INTEG,5651,1,443
266,CQ23B2, Integer,N_1_INTEG,5661,1,444
267,CQ24, Yes,N_1_YE,5671,1,445
268,CQ24, No,N_2_NO,5672,2,445
269,CQ24, Unknown,N_3_UNKNOWN,5673,3,445
